"","sig126","sig127N","sig127C","sig128N","sig128C","sig129N","sig129C","sig130N","sig130C","sig131N","sig131C"
"O88809",16.0089884817615,16.0577715734386,16.0030485263768,16.114910314229,15.9289856207746,16.0566382713505,16.0089884817615,16.1783085121304,16.062214942484,16.2182013616211,15.9813578872956
"Q91X52",17.9459657181339,17.8091765568343,17.7794051053209,17.7999044456104,17.8742418615805,17.965465673063,17.9459657181339,17.7808138062129,18.1858319952466,17.96238224943,17.8606489196431
"Q9D9Z5",14.6697397045212,14.3883989581957,14.7536108129354,14.6852456280439,14.7582417184006,14.4636825123563,14.6697397045212,14.6313546095184,13.8196462641832,14.4841393030179,14.5572979287354
"Q9CWS0",20.5849606378039,20.6464241648638,20.3320958699223,20.6118801655754,20.6077974468259,20.7571031837171,20.5849606378039,20.4809786112151,20.8496033280618,20.672317860758,20.4724616958063
"Q99LD8",20.2613650458642,20.9754770918181,19.0884489009854,19.5373271913191,20.2214640854678,20.8470696545347,20.2613650458642,19.3918271068598,21.4434269143117,20.8656212412569,19.6282208614311
"Q3U1J4",20.2274023862384,20.1756364657782,20.2500841004132,20.3080143952333,20.2524877615059,20.2145407059738,20.2274023862384,20.2248233801841,20.2947754306993,20.1344711051888,20.197722143536
"A0A494BAF6",19.7977204252536,19.6837850468517,19.8472528058025,19.8741067641314,19.8496888262855,19.808029001625,19.7977204252536,19.7894228382847,19.8815673788292,19.707038144462,19.7994552596375
"O88533",17.728247522642,18.0005065704096,16.4936164712021,17.2677580273132,18.0558172734393,18.0420377875856,17.728247522642,17.1673502964055,19.2920292928306,18.0835025769875,17.2044943509794
"Q80YA3",16.8033907364963,16.9142896248015,16.9833835305619,16.9259207368462,16.7525052892359,16.7706137939813,16.8033907364963,16.849575969797,16.771671902673,16.6500914291639,16.7507448245509
"F8WIJ5",16.8848367899181,16.740004205955,16.9336889032126,16.9332764395413,16.834546518402,16.7545541056312,16.8848367899181,16.8215369589909,16.9321381457829,16.706501472721,16.7840715879613
"Q80Y98",18.0668507371598,18.3012073426754,18.1256487953581,18.1929261862591,18.006097961077,18.1112477401292,18.0668507371598,18.1549536821037,17.8603508754154,18.0732837921522,18.0883315236243
"A2ADY9",17.5642476780805,17.431024675059,17.4442706446622,17.474278219886,17.4927904597731,17.380723094137,17.5642476780805,17.4067581794132,17.5625969657792,17.4922616486884,17.5325119041483
"Q80TS7",15.9917177199499,16.4213009063015,16.2913372381221,16.231977787301,16.0655325945289,16.2384361609601,15.9917177199499,16.2516661903403,15.5196133780397,16.2910765075582,16.2033662231609
"O54734",19.6239528390986,19.4236265414099,19.6952516357488,19.6506154790437,19.6120915155643,19.4880374706479,19.6239528390986,19.6083533280689,19.6194906848158,19.5538080008577,19.6366405038294
"Q03146",16.2576998158877,16.3628191930441,15.638778782012,15.8511996768538,16.244522314732,16.448039581691,16.2576998158877,15.882210272178,16.8776956690149,16.4745885328835,15.9864104616988
"B0V2I0",16.089881698231,16.2932097382997,15.6220186369744,15.7118290257001,16.0764109647495,16.3352008904384,16.089881698231,15.8176544024576,16.550066896679,16.3393882187553,15.8894832530409
"Q80WW9",16.9221812734936,17.0624469720806,16.853527144684,16.7355466976618,17.1500816127813,16.9460356499094,16.9221812734936,16.8732290848958,16.7907457146398,16.9326746236594,16.858910816165
"O35215",20.1294627991969,19.8946389468432,20.1026633080523,20.1375707092406,20.189576336689,20.1142324197718,20.1294627991969,20.0573295258486,20.5035280924228,19.996247239454,20.0449479611084
"Q91VR5",19.5125975883566,19.3165073065873,19.6697333053984,19.6435628104874,19.468027924962,19.438630571657,19.5125975883566,19.5881743572255,19.4378914706867,19.4178652693817,19.5918464744284
"Q80Y44",21.0525736810141,20.5193315994612,20.2272062319802,19.9330680426133,21.0605324182501,19.7442195053612,21.0525736810141,19.1065571410793,20.5650031511605,20.4561937060737,21.3933741033228
"Q501J6",18.7290014108681,18.506750432781,18.9615720592904,18.8112242757291,18.6967715204767,18.5616387610886,18.7290014108681,18.7961115744326,18.4574904974256,18.4857189125261,18.7980252716577
"Q8K363",16.8478412032529,16.7810948069353,16.3881562603482,16.469774636296,16.5784528211028,16.4250162350015,16.8478412032529,16.6447656420405,16.416801414535,16.5775203406944,16.5234119432265
"Q61655",18.1460797572558,18.0958715316208,18.0008841854159,17.9988124023215,18.1212641018298,18.1817201653846,18.1460797572558,18.1158803178982,18.1863526882953,18.1494000955822,18.0457464244969
"Q8BZY3",17.948854046469,17.8256573420244,17.839450516355,17.8696369250155,17.9443570448956,17.9314941235182,17.948854046469,17.9754657021251,17.885843851846,17.9281784016726,17.8602774638743
"Q9JJY4",14.8185733533287,14.7686002802726,15.2457807583068,14.9771443858278,14.9859489142453,14.6788255494941,14.8185733533287,15.0674678823544,14.7954929626702,14.6538497724808,15.1591103115046
"Q9JIK5",16.9294101333349,16.8161202146729,16.926669283674,16.8386510313837,16.9160950004062,16.8170389020179,16.9294101333349,16.8947639299926,16.7186091650085,16.855704062111,16.8828766481372
"D3Z0M9",17.3338779034625,17.1453225167923,17.4519840773625,17.3429868452775,17.355002885494,17.1401299257201,17.3338779034625,17.4207166424347,17.0831911361817,17.1571672264108,17.3454029777773
